date,actual,predicted,pct_divergence
2023-08-04,179.64,186.78,3.98
2023-08-07,176.54,182.76,3.53
2023-09-07,175.5,181.49,3.41
2023-09-08,176.12,181.94,3.31
2023-03-08,150.69,145.81,3.23
2023-09-12,174.26,179.72,3.14
2023-11-02,175.51,170.42,2.9
2023-08-09,175.89,180.9,2.85
2023-02-21,146.36,150.32,2.71
2023-11-06,177.15,172.5,2.63
2023-01-13,132.63,129.14,2.63
2023-08-08,177.48,182.06,2.58
2023-02-07,152.21,148.3,2.57
2023-03-06,151.63,147.76,2.55
2023-09-11,177.28,181.66,2.47
2023-11-01,171.95,167.78,2.43
2023-08-23,179.02,174.67,2.43
2023-09-01,187.27,183.08,2.24
2023-11-07,179.71,175.78,2.19
2023-10-17,175.1,178.88,2.16
2023-02-03,152.06,148.83,2.13
2023-03-20,155.15,151.9,2.09
2023-03-03,148.87,145.78,2.08
2023-10-09,176.92,173.25,2.07
2023-10-06,175.43,171.81,2.06
